Order_ID,Customer_Age,Customer_Type,Restaurant_Type,Cuisine_Type,Delivery_Distance_KM,Delivery_Time_Min,Order_Value_USD,Item_Count,Weather_Condition,Traffic_Level,Customer_Rating,Complaint_Flag,Refund_Flag,Revenue_USD,Profit_USD,City,Month,Quarter,Demand_Score,Churn_Risk
ORD0033117,36,Returning,Cloud Kitchen,Chinese,7.19,100,187.91,11,Cloudy,High,3.8,1,0,142.95,31.07,New York,1,1,86.35,36.15
ORD0000924,73,New,Cafe,Mexican,10.02,93,265.18,1,Sunny,High,1.6,0,0,150.87,25.85,Mumbai,1,1,65.52,61.32
ORD0074297,34,Returning,Cafe,Indian,15.21,31,163.5,5,Sunny,Low,2.5,0,1,65.13,114.42,Sydney,7,3,33.93,49.62
ORD0103669,57,Returning,Cloud Kitchen,Indian,8.24,89,174.95,7,Stormy,Low,1.4,0,0,387.73,-1.44,Mumbai,12,4,64.74,0.98
ORD0100419,39,Premium,Cloud Kitchen,Chinese,24.38,33,89.46,8,Stormy,Medium,1.4,0,0,23.65,115.67,London,9,3,82.99,73.56
ORD0099126,64,Premium,Fast Food,Italian,1.7,117,79.09,8,Stormy,High,3.1,0,0,103.77,146.7,Singapore,4,2,52.81,88.22
ORD0039798,60,New,Fast Food,Mexican,2.01,34,206.45,2,Rainy,Low,3.9,1,0,239.41,101.72,Singapore,5,2,99.17,97.34
ORD0110749,28,Returning,Cafe,Mexican,23.99,92,66.32,6,Stormy,Medium,5.0,0,0,87.23,166.53,London,1,1,73.64,81.64
ORD0029475,23,Premium,Cloud Kitchen,Indian,11.69,15,46.98,8,Cloudy,High,4.0,0,0,38.25,8.06,Mumbai,12,4,3.15,91.79
ORD0062005,26,New,Cloud Kitchen,Indian,17.66,54,265.89,2,Sunny,High,3.3,0,0,282.89,114.99,Sydney,3,1,71.9,25.16
ORD0056936,34,Premium,Cloud Kitchen,Italian,24.94,44,68.51,14,Rainy,High,3.4,1,0,440.77,73.93,Mumbai,5,2,71.76,41.25
ORD0024370,29,Premium,Fast Food,Indian,1.94,65,39.34,7,Stormy,High,2.3,1,0,439.57,52.81,Singapore,6,2,97.57,66.92
ORD0037241,38,Returning,Cafe,Italian,7.59,45,143.98,12,Rainy,High,4.5,1,0,182.48,155.39,London,11,4,47.71,31.54
ORD0049307,33,Returning,Cafe,Indian,24.02,58,248.66,8,Cloudy,Medium,2.3,0,0,248.43,91.18,Singapore,7,3,97.5,61.17
ORD0090612,19,New,Cafe,Chinese,8.61,117,261.5,6,Stormy,High,4.1,0,0,336.89,72.39,London,3,1,35.98,57.19
ORD0107702,62,New,Fast Food,Mexican,10.73,87,288.25,8,Cloudy,High,3.6,0,0,118.27,104.8,Sydney,12,4,42.38,64.13
ORD0089673,71,Premium,Cafe,Chinese,7.68,14,162.96,9,Rainy,Medium,1.0,0,0,72.82,131.73,London,5,2,96.35,50.84
ORD0095329,63,Returning,Cafe,Chinese,23.12,109,248.81,1,Sunny,High,3.4,0,0,54.53,28.42,Mumbai,8,3,32.66,17.88
ORD0032514,22,New,Restaurant,Indian,5.76,119,146.11,11,Cloudy,Low,4.4,0,0,73.56,118.22,Singapore,1,1,81.89,4.77
ORD0137403,63,Returning,Cafe,Italian,3.33,87,289.74,2,Cloudy,Medium,1.6,0,0,217.06,105.9,New York,2,1,87.0,68.99
ORD0108661,20,Premium,Cloud Kitchen,Chinese,7.47,50,224.84,7,Sunny,Low,2.0,0,0,270.83,33.16,Mumbai,1,1,63.85,7.18
ORD0117163,30,New,Fast Food,Italian,5.13,69,15.8,8,Cloudy,High,4.5,0,0,313.15,40.23,New York,5,2,22.47,67.86
ORD0034128,63,Premium,Fast Food,Chinese,20.65,96,94.77,8,Cloudy,Low,4.5,1,1,60.88,174.49,London,2,1,74.29,30.75
ORD0075599,53,New,Restaurant,Italian,20.19,87,33.78,5,Stormy,Low,4.3,0,0,222.51,67.83,London,9,3,96.44,93.79
ORD0094661,69,New,Restaurant,Indian,22.27,32,76.95,7,Sunny,Low,2.8,0,0,248.64,69.22,Singapore,10,4,83.76,39.3
ORD0015667,59,Returning,Restaurant,Chinese,15.29,32,170.57,12,Stormy,Medium,1.2,0,0,45.52,73.14,London,6,2,42.0,94.51
ORD0102641,66,Returning,Fast Food,Mexican,15.85,20,72.78,12,Cloudy,High,2.5,0,0,174.54,-5.75,Singapore,5,2,15.53,88.3
ORD0072836,29,New,Restaurant,Chinese,4.75,103,245.65,2,Cloudy,Low,3.4,0,0,410.52,-5.07,Sydney,1,1,72.8,27.93
ORD0058111,18,New,Cafe,Mexican,24.3,63,230.05,10,Sunny,Low,1.1,0,0,64.6,16.98,London,2,1,12.95,34.44
ORD0041679,71,New,Fast Food,Chinese,14.71,23,17.09,1,Sunny,High,3.2,0,0,151.94,144.05,London,5,2,28.91,61.04
ORD0111764,47,New,Cafe,Mexican,24.84,80,259.0,9,Rainy,High,2.5,0,0,105.13,19.73,Sydney,3,1,90.29,48.78
ORD0095771,52,Premium,Cafe,Indian,24.86,15,134.92,11,Sunny,High,3.3,0,0,212.9,25.42,Singapore,1,1,80.39,70.44
ORD0142843,30,Returning,Fast Food,Italian,0.55,95,81.75,11,Sunny,Medium,2.5,0,0,177.36,174.94,New York,11,4,37.3,7.04
ORD0082450,46,Returning,Fast Food,Chinese,24.75,49,230.4,2,Rainy,Low,1.5,0,0,157.51,27.43,Sydney,7,3,49.82,6.58
ORD0113687,23,Premium,Cloud Kitchen,Italian,12.39,91,82.08,9,Rainy,Medium,2.4,0,0,475.34,-10.85,Singapore,4,2,13.53,46.9
ORD0042247,73,Premium,Cloud Kitchen,Italian,17.49,118,47.67,9,Cloudy,High,1.6,0,0,369.47,195.52,Sydney,5,2,88.05,35.35
ORD0084726,28,Returning,Cafe,Mexican,20.97,98,153.44,7,Sunny,High,3.1,0,0,145.79,142.09,New York,11,4,51.05,1.9
ORD0027727,50,Premium,Restaurant,Indian,21.5,67,259.97,3,Stormy,High,2.0,0,0,366.99,166.8,London,10,4,66.51,99.73
ORD0122224,34,New,Restaurant,Mexican,15.54,98,254.82,1,Stormy,High,4.1,0,0,496.73,41.33,New York,11,4,50.8,75.7
ORD0040010,18,New,Restaurant,Italian,12.03,108,181.08,8,Sunny,Medium,1.4,0,0,499.96,63.37,Mumbai,4,2,40.78,26.1
ORD0066017,66,Returning,Cloud Kitchen,Indian,12.27,40,181.83,11,Cloudy,Low,1.9,0,0,265.3,191.94,Sydney,10,4,17.09,34.99
ORD0050464,52,Premium,Fast Food,Mexican,13.37,70,40.94,6,Rainy,High,4.2,0,0,158.25,-9.81,Singapore,5,2,25.17,56.64
ORD0029065,47,New,Cloud Kitchen,Indian,16.67,20,51.73,13,Stormy,Low,2.7,1,0,473.01,128.27,Sydney,1,1,20.4,89.72
ORD0034966,32,Premium,Restaurant,Italian,7.29,119,165.01,6,Cloudy,Medium,1.6,0,0,270.74,67.39,London,10,4,86.98,21.3
ORD0016623,28,Returning,Cloud Kitchen,Chinese,21.54,10,188.4,11,Rainy,Low,2.6,0,0,263.06,18.7,Mumbai,2,1,64.8,29.11
ORD0119291,39,Premium,Fast Food,Indian,3.1,19,94.16,12,Cloudy,Medium,1.9,0,0,399.38,79.15,Mumbai,8,3,64.46,23.91
ORD0086409,46,Returning,Cloud Kitchen,Mexican,15.44,72,275.88,3,Stormy,Low,1.6,0,0,138.31,51.3,New York,9,3,87.48,82.26
ORD0124009,28,New,Fast Food,Indian,14.38,78,107.08,2,Rainy,Medium,4.7,0,0,222.2,57.07,London,12,4,12.44,37.41
ORD0085461,69,New,Fast Food,Italian,11.45,80,151.84,5,Cloudy,Medium,3.0,0,0,202.22,18.26,Singapore,5,2,79.22,19.38
ORD0034258,54,New,Fast Food,Indian,16.64,16,28.77,11,Stormy,Low,2.7,0,0,456.3,189.73,Mumbai,7,3,48.27,78.84
ORD0050692,40,Returning,Cloud Kitchen,Indian,8.83,78,205.51,9,Cloudy,Medium,2.9,0,0,336.33,182.68,London,10,4,98.47,13.17
ORD0010673,65,Returning,Restaurant,Indian,8.67,59,219.43,6,Cloudy,Medium,1.5,0,0,416.27,153.94,Mumbai,7,3,79.3,49.18
ORD0144167,71,New,Restaurant,Indian,2.85,116,210.12,1,Rainy,Low,2.6,0,0,125.44,46.64,Singapore,7,3,75.52,4.77
ORD0007322,70,New,Cloud Kitchen,Chinese,2.45,66,52.26,11,Stormy,High,3.8,0,0,283.85,40.79,Singapore,7,3,87.04,54.09
ORD0015111,24,Premium,Cloud Kitchen,Chinese,20.72,43,14.04,12,Cloudy,Low,2.4,0,1,187.02,46.58,Mumbai,7,3,30.38,30.26
ORD0129697,31,Premium,Fast Food,Italian,12.37,108,154.82,8,Stormy,Low,3.9,0,0,494.88,192.8,Singapore,2,1,22.39,79.87
ORD0083565,59,New,Cafe,Italian,23.58,33,280.29,11,Cloudy,Medium,2.4,0,1,439.89,197.69,London,7,3,92.43,98.14
ORD0119867,48,New,Fast Food,Mexican,3.63,49,233.56,9,Cloudy,High,3.3,0,0,8.31,-16.08,New York,1,1,73.34,45.32
ORD0133770,32,Premium,Cafe,Italian,7.81,59,129.31,5,Sunny,Low,4.6,0,0,95.5,134.08,Sydney,2,1,70.01,48.56
ORD0146286,33,Returning,Restaurant,Mexican,3.64,81,132.87,9,Sunny,Medium,2.1,0,0,63.65,-17.18,Mumbai,12,4,45.78,28.26
ORD0084222,27,Returning,Cafe,Italian,18.68,86,294.49,11,Sunny,Low,2.1,0,0,224.78,31.04,New York,10,4,88.67,2.96
ORD0000118,47,New,Restaurant,Italian,6.78,36,14.05,14,Rainy,Low,1.2,0,0,375.15,190.05,Mumbai,6,2,6.69,27.22
ORD0071202,64,Returning,Fast Food,Mexican,10.09,11,109.68,3,Stormy,High,2.1,1,0,376.13,143.28,London,11,4,95.21,51.93
ORD0084950,35,Premium,Fast Food,Italian,24.74,74,128.95,14,Rainy,Low,4.3,0,0,458.46,189.45,Singapore,12,4,22.49,82.83
ORD0052889,74,Returning,Fast Food,Indian,4.07,40,49.19,2,Rainy,Medium,4.8,1,0,135.27,79.73,New York,2,1,72.91,2.42
ORD0013859,72,New,Fast Food,Italian,22.64,46,142.47,7,Stormy,Low,2.6,0,0,125.04,-19.85,Singapore,4,2,0.76,96.85
ORD0136207,72,Returning,Fast Food,Italian,4.73,81,26.7,6,Sunny,Low,2.4,0,0,361.86,131.24,Mumbai,2,1,59.13,13.37
ORD0022935,28,Returning,Cafe,Chinese,19.2,46,80.06,10,Stormy,High,4.4,0,0,18.12,35.95,New York,6,2,52.37,59.99
ORD0133891,34,New,Fast Food,Chinese,24.83,102,61.24,9,Rainy,Low,1.8,0,0,49.68,148.55,London,9,3,66.0,9.97
ORD0056198,49,Premium,Cafe,Italian,8.42,74,105.77,4,Cloudy,Medium,3.7,0,0,185.63,15.88,London,2,1,74.32,54.99
ORD0130665,59,Returning,Fast Food,Indian,12.76,11,214.98,8,Stormy,Medium,2.4,0,0,180.2,173.88,London,6,2,70.28,70.78
ORD0087519,31,Premium,Restaurant,Indian,23.76,11,211.9,13,Stormy,High,5.0,0,0,307.56,30.07,Singapore,6,2,31.35,19.41
ORD0016603,45,Returning,Fast Food,Chinese,14.47,34,208.05,3,Sunny,Low,4.3,0,0,429.72,-8.07,Mumbai,5,2,52.9,14.09
ORD0105029,42,Premium,Restaurant,Chinese,6.35,35,47.38,10,Rainy,Low,2.7,0,0,115.76,125.41,Mumbai,7,3,98.91,99.17
ORD0013217,65,New,Restaurant,Indian,2.78,104,23.04,5,Rainy,High,3.0,0,0,122.0,32.56,Singapore,8,3,56.37,30.25
ORD0038883,46,Returning,Cafe,Italian,0.82,85,239.68,10,Cloudy,High,3.0,0,0,357.84,-14.04,Mumbai,3,1,93.13,96.77
ORD0073884,23,Premium,Cloud Kitchen,Indian,15.8,104,176.22,2,Cloudy,High,1.4,0,0,329.69,73.12,New York,9,3,71.03,39.88
ORD0017654,55,New,Restaurant,Chinese,16.45,13,101.16,8,Sunny,Low,1.6,0,0,47.06,5.66,London,7,3,3.91,15.97
ORD0142822,23,New,Fast Food,Italian,3.2,73,12.92,2,Sunny,Low,3.4,0,0,42.45,186.33,Sydney,1,1,99.48,24.91
ORD0084865,62,Premium,Cafe,Chinese,18.05,115,240.69,1,Cloudy,High,1.2,0,0,315.78,95.89,London,10,4,2.98,90.99
ORD0117264,47,Premium,Cloud Kitchen,Italian,21.12,61,111.2,14,Stormy,Medium,4.6,0,0,308.35,90.53,London,8,3,95.24,91.12
ORD0034411,67,Premium,Cloud Kitchen,Mexican,24.6,75,6.22,2,Stormy,High,3.4,0,0,392.83,175.28,Sydney,5,2,19.9,26.57
ORD0117837,38,Premium,Restaurant,Indian,3.83,82,281.11,8,Cloudy,Medium,1.2,0,0,473.58,168.97,New York,12,4,23.16,37.69
ORD0007417,40,Returning,Cloud Kitchen,Mexican,16.56,56,76.43,4,Stormy,Low,4.2,0,0,434.81,129.78,Singapore,9,3,17.47,99.19
ORD0017710,40,Premium,Cloud Kitchen,Mexican,16.69,112,102.07,5,Cloudy,Medium,4.0,0,0,327.83,78.01,Singapore,4,2,74.18,63.4
ORD0136253,65,Premium,Restaurant,Indian,20.51,84,101.64,7,Cloudy,High,3.6,0,0,342.03,168.95,Sydney,12,4,32.45,80.19
ORD0026211,18,Returning,Fast Food,Mexican,11.01,81,64.24,10,Rainy,Low,3.8,0,0,193.82,162.12,Sydney,9,3,53.52,46.97
ORD0039345,68,New,Cloud Kitchen,Chinese,13.03,87,280.28,12,Sunny,High,2.7,0,0,207.19,1.9,Singapore,4,2,34.81,17.04
ORD0116700,43,New,Restaurant,Chinese,11.62,12,278.57,11,Stormy,High,1.9,0,0,426.33,24.69,London,5,2,73.94,35.91
ORD0095048,49,Returning,Restaurant,Chinese,2.87,64,259.37,13,Cloudy,Low,1.1,0,0,310.76,101.67,London,10,4,29.03,36.08
ORD0111110,62,Premium,Cloud Kitchen,Indian,19.58,66,40.63,8,Sunny,High,4.1,0,0,353.41,179.85,London,1,1,34.81,87.89
ORD0051157,41,Returning,Cafe,Indian,18.82,52,284.71,6,Rainy,High,1.3,0,0,166.53,126.17,Singapore,8,3,40.36,28.26
ORD0129331,68,New,Cloud Kitchen,Mexican,23.08,58,145.39,1,Sunny,Medium,4.0,0,0,202.17,120.05,Sydney,2,1,4.39,10.78
ORD0067234,67,New,Fast Food,Chinese,3.52,25,75.58,8,Cloudy,Low,1.3,1,1,172.81,38.4,Mumbai,12,4,64.08,70.8
ORD0115062,18,New,Cloud Kitchen,Mexican,15.95,89,69.6,8,Stormy,High,3.4,0,0,346.38,181.01,New York,6,2,15.87,48.55
ORD0017170,52,New,Restaurant,Mexican,2.18,35,140.71,1,Stormy,Medium,2.0,0,0,111.26,57.63,New York,6,2,69.24,83.35
ORD0125745,67,New,Cafe,Italian,1.16,89,41.03,6,Rainy,Low,2.5,0,0,102.4,93.01,Sydney,11,4,58.42,10.29
ORD0046673,64,Premium,Cafe,Chinese,20.64,71,47.36,10,Sunny,High,1.4,0,0,29.24,64.0,London,10,4,5.38,11.0
ORD0149918,25,Premium,Fast Food,Chinese,12.34,82,6.45,5,Rainy,Medium,5.0,0,0,443.0,143.07,Sydney,6,2,34.91,62.56
ORD0102439,43,Premium,Cloud Kitchen,Indian,9.23,24,102.27,10,Sunny,High,1.9,0,0,95.49,36.04,Singapore,2,1,69.06,83.09
ORD0004891,29,Premium,Restaurant,Mexican,10.65,74,179.03,11,Rainy,Low,2.2,0,0,175.86,139.02,Sydney,12,4,34.85,98.66
ORD0146811,18,New,Fast Food,Italian,3.19,92,44.53,1,Stormy,High,2.6,0,0,108.35,60.99,Mumbai,7,3,72.64,69.11
ORD0010141,23,New,Fast Food,Chinese,13.61,43,143.88,5,Sunny,Medium,4.8,0,0,11.67,178.86,Mumbai,5,2,56.75,54.94
ORD0111238,21,Premium,Cloud Kitchen,Chinese,18.76,91,288.79,11,Sunny,High,4.1,1,0,325.48,-17.01,Singapore,9,3,39.97,34.9
ORD0117339,72,Premium,Cafe,Mexican,11.3,76,263.12,11,Stormy,Low,3.3,0,0,69.22,172.38,Sydney,3,1,65.19,68.42
ORD0088469,45,Returning,Cafe,Indian,21.43,72,181.4,14,Cloudy,High,4.3,0,0,267.13,137.19,Sydney,12,4,4.35,78.5
ORD0116628,67,New,Cloud Kitchen,Indian,8.09,71,188.34,7,Rainy,Low,2.9,0,0,332.08,92.86,Singapore,12,4,83.68,75.82
ORD0113106,60,Returning,Restaurant,Chinese,11.28,32,35.22,2,Stormy,Medium,3.4,0,0,274.84,23.63,Sydney,1,1,15.39,6.58
ORD0057839,25,New,Cloud Kitchen,Chinese,21.6,29,234.76,6,Stormy,Low,3.2,0,0,442.56,148.43,London,8,3,42.06,71.13
ORD0042458,54,New,Fast Food,Chinese,15.94,19,39.46,5,Rainy,High,2.9,0,0,237.68,173.81,Sydney,9,3,69.33,54.94
ORD0057005,59,New,Cafe,Mexican,1.46,43,175.56,11,Sunny,Low,1.3,0,0,254.37,195.76,Mumbai,9,3,75.19,5.26
ORD0027965,72,Returning,Cafe,Italian,15.99,78,261.83,8,Rainy,Medium,3.2,0,0,259.35,42.05,Sydney,12,4,90.3,49.02
ORD0141962,18,Premium,Cloud Kitchen,Chinese,3.9,85,258.91,12,Cloudy,High,1.2,0,0,150.72,167.13,New York,6,2,29.29,67.6
ORD0029910,33,Premium,Fast Food,Indian,12.63,28,180.88,5,Sunny,Low,2.7,0,0,252.69,176.36,Singapore,9,3,91.63,36.53
ORD0125078,68,Returning,Cafe,Chinese,11.96,90,71.76,6,Cloudy,Medium,3.0,0,0,158.98,98.32,Mumbai,5,2,6.57,57.17
ORD0051213,46,New,Restaurant,Indian,17.48,85,44.79,9,Sunny,Medium,4.5,0,0,479.48,129.47,Sydney,1,1,62.38,89.06
ORD0109729,30,Premium,Restaurant,Indian,7.58,34,179.48,8,Rainy,Low,1.1,1,0,340.02,6.2,Sydney,11,4,88.19,85.79
ORD0063781,66,Returning,Fast Food,Mexican,17.32,112,11.52,4,Stormy,Low,3.4,0,0,44.79,125.89,New York,9,3,43.83,64.67
ORD0008342,61,Returning,Cloud Kitchen,Mexican,18.26,16,106.04,14,Sunny,Medium,3.8,0,0,6.33,173.12,Mumbai,10,4,89.9,62.6
ORD0134181,31,Premium,Restaurant,Italian,17.25,68,277.06,3,Sunny,Low,2.2,0,0,262.15,26.32,New York,6,2,96.53,76.96
ORD0140419,57,Premium,Cafe,Italian,16.1,23,299.64,9,Rainy,Low,3.2,0,0,235.85,6.07,Mumbai,4,2,10.87,35.14
ORD0095547,44,Returning,Cloud Kitchen,Indian,15.55,91,278.58,6,Cloudy,High,1.1,0,0,477.9,11.53,Mumbai,7,3,84.4,56.25
ORD0119333,59,New,Cafe,Chinese,11.95,24,214.74,5,Cloudy,Low,4.9,0,0,341.73,73.94,Singapore,6,2,32.82,11.05
ORD0018608,47,New,Restaurant,Chinese,4.74,85,42.59,6,Stormy,High,4.3,0,1,32.38,-9.1,Sydney,11,4,38.53,57.89
ORD0148774,21,Premium,Cloud Kitchen,Mexican,4.17,46,20.46,10,Stormy,High,4.1,0,0,258.44,-11.92,Mumbai,5,2,20.66,67.59
ORD0031588,23,Returning,Cloud Kitchen,Chinese,23.02,54,208.06,14,Sunny,Medium,4.0,0,1,384.5,49.53,New York,6,2,31.56,31.58
ORD0049188,23,New,Restaurant,Italian,14.14,26,201.9,2,Cloudy,High,1.4,1,0,300.32,85.31,Singapore,1,1,12.3,0.92
ORD0024258,66,New,Restaurant,Italian,23.78,22,214.36,4,Cloudy,High,2.4,1,0,402.98,120.71,Singapore,6,2,36.14,15.19
ORD0082973,41,Premium,Restaurant,Chinese,9.01,103,183.83,9,Rainy,Medium,2.6,0,0,418.7,147.11,Sydney,3,1,52.63,19.84
ORD0140114,49,New,Fast Food,Chinese,24.73,116,289.32,13,Rainy,High,4.5,0,0,260.45,36.71,London,4,2,48.37,60.77
ORD0041592,23,New,Cafe,Italian,17.82,53,204.96,8,Sunny,Low,4.9,0,0,499.87,160.14,New York,7,3,41.45,83.6
ORD0025246,52,New,Cloud Kitchen,Italian,19.74,58,279.61,13,Sunny,Medium,2.9,0,0,97.78,158.57,Mumbai,12,4,88.28,15.12
ORD0008396,23,Returning,Fast Food,Italian,14.56,105,238.51,8,Sunny,Medium,2.3,0,0,50.96,199.13,Mumbai,12,4,73.57,0.61
ORD0029319,21,Returning,Fast Food,Italian,2.42,40,112.48,13,Cloudy,Medium,3.3,0,0,207.22,3.59,London,12,4,25.94,52.96
ORD0007704,62,New,Cloud Kitchen,Chinese,15.81,38,165.43,7,Rainy,Low,3.6,1,0,14.4,196.66,Mumbai,11,4,95.45,53.59
ORD0069358,58,Returning,Cafe,Indian,22.46,104,77.91,6,Rainy,High,1.6,0,0,296.5,184.88,London,8,3,79.74,5.13
ORD0019079,62,Premium,Cafe,Indian,19.04,60,109.8,2,Stormy,High,1.8,0,0,466.59,133.54,New York,5,2,60.03,77.19
ORD0055709,60,New,Cafe,Chinese,22.82,59,279.81,3,Rainy,Medium,4.4,0,0,85.33,59.33,London,6,2,57.29,60.02
ORD0147422,44,Premium,Restaurant,Mexican,24.73,16,288.08,3,Stormy,Low,3.6,0,0,87.65,174.2,Sydney,4,2,89.59,94.23
ORD0104159,32,New,Cloud Kitchen,Mexican,18.27,41,29.32,13,Stormy,Low,2.3,0,0,149.03,177.7,New York,12,4,25.21,41.86
ORD0108569,26,Premium,Restaurant,Italian,11.03,48,98.04,10,Cloudy,Low,2.7,0,0,71.49,71.02,New York,4,2,80.98,32.92
ORD0008960,23,Premium,Cloud Kitchen,Indian,20.01,114,26.98,14,Cloudy,High,4.6,1,0,210.49,100.26,London,8,3,23.26,72.14
ORD0073454,64,Premium,Fast Food,Chinese,3.56,75,168.09,11,Rainy,High,1.9,0,0,424.87,-15.1,London,7,3,71.73,21.52
ORD0126236,40,Premium,Restaurant,Mexican,13.46,75,220.16,13,Rainy,Low,2.7,0,0,487.36,171.32,Singapore,7,3,8.71,59.63
ORD0036738,38,Premium,Restaurant,Mexican,8.26,54,88.38,11,Stormy,Medium,4.5,0,0,418.53,186.99,Mumbai,12,4,20.93,99.9
ORD0019708,67,New,Fast Food,Italian,12.76,90,73.4,3,Rainy,High,3.3,0,0,332.94,31.54,Singapore,6,2,83.2,10.16
ORD0089106,19,Returning,Cloud Kitchen,Chinese,7.12,88,13.85,14,Stormy,High,1.1,0,1,424.28,-19.89,Singapore,10,4,61.0,31.44
ORD0067266,55,Premium,Restaurant,Italian,12.17,74,192.21,4,Sunny,Medium,4.7,0,0,103.44,195.5,Singapore,3,1,85.39,63.11
ORD0024644,43,Returning,Restaurant,Mexican,14.3,82,232.51,6,Rainy,High,3.0,0,0,172.45,-2.35,London,1,1,88.99,31.45
ORD0020183,26,New,Fast Food,Italian,17.37,96,130.73,13,Cloudy,Medium,4.2,0,0,421.95,125.36,Singapore,4,2,20.87,53.65
